Goroka,Goroka,Papua New Guinea,GKA,AYGA,-6.081689,145.391881,5282,10,U,Pacific/Port_Moresby,0,2016-02-15 01:34:09,2016-02-15 01:34:09
Madang,Madang,Papua New Guinea,MAG,AYMD,-5.207083,145.7887,20,10,U,Pacific/Port_Moresby,0,2016-02-15 01:34:09,2016-02-15 01:34:09
Mount Hagen,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.826789,144.295861,5388,10,U,Pacific/Port_Moresby,0,2016-02-15 01:34:09,2016-02-15 01:34:09
Nadzab,Nadzab,Papua New Guinea,LAE,AYNZ,-6.569828,146.726242,239,10,U,Pacific/Port_Moresby,0,2016-02-15 01:34:09,2016-02-15 01:34:09
Port Moresby Jacksons Intl,Port Moresby,Papua New Guinea,POM,AYPY,-9.443383,147.22005,146,10,U,Pacific/Port_Moresby,0,2016-02-15 01:34:09,2016-02-15 01:34:09
Wewak Intl,Wewak,Papua New Guinea,WWK,AYWK,-3.583828,143.669186,19,10,U,Pacific/Port_Moresby,0,2016-02-15 01:34:09,2016-02-15 01:34:09
Narsarsuaq,Narssarssuaq,Greenland,UAK,BGBW,61.160517,-45.425978,112,-3,E,America/Godthab,0,2016-02-15 01:34:09,2016-02-15 01:34:09
Nuuk,Godthaab,Greenland,GOH,BGGH,64.190922,-51.678064,283,-3,E,America/Godthab,0,2016-02-15 01:34:09,2016-02-15 01:34:09
Sondre Stromfjord,Sondrestrom,Greenland,SFJ,BGSF,67.016969,-50.689325,165,-3,E,America/Godthab,0,2016-02-15 01:34:09,2016-02-15 01:34:09
Thule Air Base,Thule,Greenland,THU,BGTL,76.531203,-68.703161,251,-4,E,America/Thule,0,2016-02-15 01:34:09,2016-02-15 01:34:09
Akureyri,Akureyri,Iceland,AEY,BIAR,65.659994,-18.072703,6,0,N,Atlantic/Reykjavik,0,2016-02-15 01:34:09,2016-02-15 01:34:09
Egilsstadir,Egilsstadir,Iceland,EGS,BIEG,65.283333,-14.401389,76,0,N,Atlantic/Reykjavik,0,2016-02-15 01:34:09,2016-02-15 01:34:09
Hornafjordur,Hofn,Iceland,HFN,BIHN,64.295556,-15.227222,24,0,N,Atlantic/Reykjavik,0,2016-02-15 01:34:09,2016-02-15 01:34:09
Husavik,Husavik,Iceland,HZK,BIHU,65.952328,-17.425978,48,0,N,Atlantic/Reykjavik,0,2016-02-15 01:34:09,2016-02-15 01:34:09
Isafjordur,Isafjordur,Iceland,IFJ,BIIS,66.058056,-23.135278,8,0,N,Atlantic/Reykjavik,0,2016-02-15 01:34:09,2016-02-15 01:34:09
Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.985,-22.605556,171,0,N,Atlantic/Reykjavik,0,2016-02-15 01:34:09,2016-02-15 01:34:09
